applicability,service,reporting_period,category_of_illegal_content,sub_category_other,scope,num_orders_against_illegal,num_items_in_orders,median_time_inform_authority_act,median_time_give_effect_act,num_orders_provide_info,median_time_inform_authority_info,median_time_give_effect_info
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,TOTAL,7.0,8.0,0.0,0.78,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DEFAMATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DISCRIMINATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_HATE_SPEECH,,TOTAL,7.0,8.0,0.0,0.78,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_DESIGN_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PATENT_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_MISINFORMATION_DISINFORMATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_VIOLATION_EU_LAW,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,TOTAL,2.0,11.0,0.0,32.41,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,TOTAL,2.0,11.0,0.0,32.41,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL_DEEPFAKE,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_UNSAFE_CHALLENGES,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,TOTAL,21.0,27.0,0.0,0.82,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,TOTAL,5.0,5.0,0.0,0.62,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_TERRORIST_CONTENT,,TOTAL,16.0,22.0,0.0,0.83,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PHISHING,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PYRAMID_SCHEMES,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_SELF_HARM,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_SELF_MUTILATION,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_SUICIDE,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_PROHIBITED_PRODUCTS,,TOTAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0
