applicability,service,reporting_period,category_tc,sub_category_other,num_measures_own_initiative,num_measures_automated,visibility_removal,visibility_disable,visibility_demoted,visibility_age_restricted,visibility_interaction_restricted,visibility_labelled,visibility_other,monetary_suspension,monetary_termination,monetary_other,service_suspension,service_termination,account_suspension,account_termination
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_BULLYING_INTIMIDATION,,17.0,10.0,17.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT,,2491.0,2275.0,2490.0,0.0,0.0,,,,,0.0,0.0,,1.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_INCITEMENT,,2142.0,2096.0,2142.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING,,6.0,5.0,6.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,3.0,2.0,3.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_NON_CONSENSUAL_MATERIAL_DEEPFAKE,,2.0,2.0,2.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_OTHER,"Text to detail the ""Other"" keyword.",0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,STATEMENT_CATEGORY_CYBER_VIOLENCE_AGAINST_WOMEN,,,,,,,,,,,,,,,,,
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_BULLYING_AGAINST_GIRLS,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_HARASSMENT_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
All,Spotify Main,2025-01-01/2025-12-31,KEYWORD_CYBER_STALKING_AGAINST_WOMEN,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,0.0,0.0
